skill,have_skill_and_add_to_profile,already_in_profile,jd_count,example_jds
SQL,,yes,6,"Technical Program Manager - Abnormal AI; Analytics Product Manager - Cotiviti; Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Data Analyst, Product Analytics - Thomson Reuters; Implementation Manager - avante"
UAT,,,6,IT Business Analyst III - Gama-1 Technologies; Technical Client Engagement Manager - Aspira; Technical Program Manager - Hanson Consulting Group; Technical Project Manager - Gravitate; AI Application Specialist - Motorola Solutions
Coaching,,,5,Agile Project Manager - Everforth ECS; Agile Project Manager - Pinnacle Method Consulting; Scrum Master - Helic & Co.; (US) Customer Operation Launch Manager - PointClickCare; Decision Strategy Management – Dialer and Campaign Management Strategist - BMO
ERP,,,5,"Technical Project Manager - Gravitate; Associate Project Manager - System Automation Corporation; Client Project Manager - Thomson Reuters; Client Project Manager - Thomson Reuters; IT Solutions Project Manager - Supply Chain Planning Systems - ERP Logic Israel, SAP Partner"
Microsoft SharePoint,,,5,Associate Project Manager - RemoteHunter; Project Manager - RedStream Technology; Information Technology Project Manager - Talentmatics; IT - Digital Platform Ops - Sr Business Systems Analyst - Digital - Golden 1 Credit Union; IT Program & Project Management Consultant - Conduent
Product lifecycle management,,,5,Product Manager 1 - (AI Focus) - Principal Financial Group; Technical Program Manager - Abnormal AI; Technical Program Manager - Hanson Consulting Group; Analytics Product Manager - Cotiviti; Junior Product Life Cycle Program Manager - Ciena
Python,,yes,5,"Technical Project Manager - Yalo; Customer Success Engineer (Americas) - Deepgram; Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Data Analyst, Product Analytics - Thomson Reuters; Implementation Manager (AI / HealthTech) - evoke"
Team leadership,,,5,"Delivery Lead - RWS Group; Delivery Manager / Delivery Lead - SR Talent Solution Inc.; Director, Program Management, Office of the COO - Horizon Media; Director, Program Management, Product and Data (Temp) - Horizon Media; Information Services Manager (ISM) - Mutual of Omaha"
AWS,,,4,Technical Project Manager - Yalo; Data & Analytics (ML-Enabled Systems) - Thomson Reuters; DC to Cloud Scrum Master/Project Manager - Sogeti; Delivery Manager / Delivery Lead - SR Talent Solution Inc.
CRM,,,4,Associate Project Manager - System Automation Corporation; Delivery Manager / Delivery Lead - SR Talent Solution Inc.; Implementation Project Manager - Attentive; Implementation Specialist - PatientNOW
Decision-making,,,4,"Business Analyst - SaaS - Motorola Solutions; Client Project Manager - Thomson Reuters; Client Project Manager - Thomson Reuters; Data Analyst, Product Analytics - Thomson Reuters"
Generative AI,,,4,"Product Manager 1 - (AI Focus) - Principal Financial Group; Associate Consultant - 26187 - Enverus; Data & Analytics (ML-Enabled Systems) - Thomson Reuters; Data Analyst, Product Analytics - Thomson Reuters"
Microsoft PowerPoint,,,4,Technical Program Manager - AI & Security/Executive /leadershp level communication - Ahura Workforce Solutions; Analytics Product Manager - Cotiviti; Client Program Manager - Academian; IT Program & Project Management Consultant - Conduent
Microsoft Project,,,4,Lead Technical Project Manager - Remote - Experian; Project Coordinator - Tundra Technical Solutions; Information Technology Project Manager - Talentmatics; IT Program & Project Management Consultant - Conduent
